iter	Passed	Remaining
325	2064	7435
326	2071	7431
327	2076	7418
328	2080	7405
329	2086	7397
330	2090	7384
331	2095	7371
332	2100	7361
333	2105	7349
334	2109	7336
335	2114	7324
336	2119	7314
337	2123	7301
338	2128	7289
339	2134	7283
340	2139	7270
341	2143	7259
342	2150	7252
343	2154	7240
344	2158	7227
345	2166	7227
346	2171	7215
347	2175	7202
348	2183	7200
349	2187	7187
350	2192	7177
351	2197	7165
352	2201	7154
353	2206	7144
354	2211	7134
355	2216	7122
356	2223	7119
357	2226	7100
358	2230	7089
359	2234	7074
360	2241	7072
361	2246	7062
362	2251	7051
363	2259	7052
364	2264	7042
365	2271	7036
366	2275	7024
367	2279	7013
368	2285	7006
369	2290	6995
370	2294	6982
371	2298	6971
372	2304	6962
373	2308	6950
374	2313	6939
375	2320	6936
376	2324	6924
377	2328	6912
378	2334	6904
379	2339	6896
380	2344	6885
381	2349	6876
382	2354	6865
383	2358	6855
384	2364	6848
385	2369	6837
386	2373	6826
387	2378	6817
388	2384	6808
389	2388	6797
390	2394	6792
391	2399	6781
392	2403	6770
393	2409	6764
394	2415	6756
395	2420	6748
396	2427	6745
397	2432	6735
398	2437	6726
399	2445	6726
400	2450	6715
401	2457	6713
402	2462	6704
403	2467	6693
404	2474	6690
405	2478	6679
406	2483	6668
407	2490	6665
408	2494	6653
409	2498	6642
410	2504	6637
411	2509	6626
412	2513	6616
413	2519	6609
414	2524	6599
